customer_id,age,monthly_income,tenure_months,num_logins_last_month,avg_session_time,support_tickets,account_balance,last_payment_amount,engagement_score,payment_to_income_ratio,gender,subscription_type,region,payment_method,is_active,preferred_device,churn
0,39.0,805128.0229655565,76.0,39.0,30.297418713539173,0.0,70965.47905753035,36591.288387166824,1272.4915859686453,0.025340601972712727,2.0,2.0,3.0,2.0,0.0,1.0,1
1,69.0,1327571.998754397,46.0,27.0,50.66676566486348,3.0,62653.31670128711,26134.00930111092,1368.002672951314,0.019317921385878505,2.0,0.0,1.0,1.0,1.0,0.0,1
2,48.0,912795.6643577828,83.0,23.0,53.08683901846179,1.0,46918.41554759551,15390.195032668198,1220.9972974246211,0.01686050409047057,2.0,2.0,3.0,2.0,1.0,0.0,0
3,76.0,795527.5067064395,45.0,23.0,55.1977736553424,1.0,22665.546093601504,36591.288387166824,1269.5487940728754,0.05174337954481634,1.0,1.0,1.0,1.0,1.0,2.0,1
4,52.0,442513.4532265317,98.0,29.0,67.78199868470911,3.0,58510.03676877102,14704.401068953088,1965.6779618565643,0.03322927463953419,0.0,0.0,3.0,0.0,0.0,0.0,0
5,58.0,1137540.7640935834,103.0,27.0,31.292818543135503,2.0,58536.06057220614,16592.146518127192,844.9061006646585,0.014585979722096522,2.0,2.0,0.0,0.0,0.0,1.0,0
6,50.0,767906.5055922763,6.0,27.0,81.94961392695734,1.0,61334.83490890383,29511.518554875365,2212.6395760278483,0.0384311349623396,0.0,1.0,1.0,1.0,1.0,0.0,0
7,59.0,624998.3887835226,102.0,21.0,49.6328763319121,3.0,24087.875562345307,26844.490373448105,763.5187504862347,0.042951295323652564,0.0,1.0,3.0,0.0,1.0,0.0,0
8,67.0,887774.6901741907,29.0,25.0,27.72987590640401,1.0,55497.24809097759,11701.30938707831,763.5187504862347,0.013180494461699952,1.0,2.0,0.0,2.0,1.0,2.0,0
9,42.0,1120576.1456429511,60.0,28.0,55.970617269729686,2.0,42781.34655851903,27439.267888044556,1567.1772835524312,0.024486749958701624,2.0,2.0,1.0,1.0,0.0,1.0,0
10,39.0,789494.9624615931,51.0,34.0,47.038968864348135,2.0,79505.38674038157,16369.37658008498,1599.3249413878366,0.02073398483639002,2.0,2.0,0.0,3.0,1.0,0.0,1
11,37.0,1079413.9236643189,102.0,39.0,43.37163434380574,3.0,69604.59143386036,30232.682186880527,1908.3519111274525,0.028008423389841716,2.0,1.0,0.0,1.0,1.0,1.0,1
12,51.0,666902.6911035611,79.0,27.0,45.0092571170166,3.0,57254.83258997495,35915.057436646086,1215.2499421594482,0.05385352003485761,0.0,1.0,0.0,2.0,1.0,1.0,0
13,48.0,423586.0752833701,114.0,28.0,65.45336169677293,0.0,66250.52219987763,25551.91651555289,1832.694127509642,0.06032284347038368,2.0,1.0,2.0,2.0,0.0,2.0,1
14,48.0,652557.5369114871,61.0,21.0,67.24751817206057,3.0,40638.484726661976,11075.016971860105,1344.9503634412113,0.01697170953580193,1.0,1.0,3.0,3.0,1.0,1.0,1
15,74.0,534646.4413389526,107.0,35.0,73.34486737799705,5.0,51402.63070716407,18949.958397633894,2567.0703582298966,0.03544390635085157,2.0,2.0,1.0,1.0,0.0,2.0,0
16,67.0,322510.62245730445,112.0,21.0,60.59849036018503,3.0,44936.36515343054,26888.53951632861,1211.9698072037006,0.07444385301601573,1.0,2.0,1.0,1.0,0.0,1.0,0
17,29.0,315422.604734442,114.0,37.0,67.29224369797944,2.0,36083.01640648268,19697.678905549143,2489.8130168252396,0.06444306940060052,1.0,2.0,0.0,0.0,0.0,1.0,0
18,45.0,573550.515494127,33.0,36.0,58.9649049642122,0.0,27464.46835119164,15659.131970894938,2122.736578711639,0.027302097283278065,2.0,0.0,2.0,1.0,0.0,0.0,0
19,23.0,911097.2997566336,114.0,30.0,95.1648969159733,2.0,44809.62687093249,19254.31562306163,3099.105897081254,0.021133105792547863,2.0,1.0,2.0,0.0,1.0,1.0,0
20,38.0,1327571.998754397,97.0,38.0,72.20277149196845,0.0,26738.73591518549,11385.211635312651,2743.7053166948012,0.008319453524900539,2.0,0.0,2.0,2.0,0.0,1.0,1
21,32.0,845214.7226407652,62.0,27.0,95.1648969159733,2.0,77141.36218867588,17353.947704842263,3099.105897081254,0.020531998840036855,0.0,0.0,3.0,1.0,0.0,1.0,1
22,41.0,685892.1268762689,62.0,30.0,78.79480616852912,4.0,51486.010338853404,36090.81356811145,2363.844185055874,0.05261878968122641,0.0,2.0,2.0,3.0,0.0,2.0,0
